Symbol,Sector,Market Cap,Price,Price/Sales,Price/Earnings,Dividend Yield
MMM,Industrials,112.74,189.09,3.74,23.17,2.48
ABT,Health Care,77.76,45,3.74,48.03,2.34
ABBV,Health Care,101.52,63.69,3.95,17.55,4.04
ACN,Information Technology,77.29,124.14,2.3,18.37,1.96
ATVI,Information Technology,36.13,48.06,5.44,37.55,0.64
AYI,Industrials,9,205.41,2.64,29.68,0.25
ADBE,Information Technology,59.28,119.98,10.14,51.72,0
AAP,Consumer Discretionary,11.18,151.99,1.19,24.51,0.15
AES,Utilities,7.47,11.33,0.56,-10000,4.16
AET,Health Care,45.93,130.59,0.73,20.37,1.53
AMG,Financials,9.44,166.56,4.32,19.44,0.47
AFL,Financials,28.88,71.95,1.27,11.21,2.38
A,Health Care,16.49,51.21,3.89,32.85,1.02
APD,Materials,30.38,139.64,3.18,53.77,2.72
AKAM,Information Technology,10.96,63.3,4.67,35.36,-10000
ALK,Industrials,11.74,95.12,2.01,14.54,1.21
ALB,Materials,11.68,103.79,4.29,18.26,1.22
ALXN,Health Care,29.02,129.18,9.71,73.4,-10000
ALLE,Industrials,6.96,72.86,3.12,30.87,0.87
AGN,Health Care,80.32,239.6,5.58,6.28,1.14
ADS,Information Technology,13.7,245.05,1.92,33.39,0.85
LNT,Utilities,8.94,39.28,2.69,24.01,3.22
ALL,Financials,29.74,81.46,0.81,17.44,1.66
GOOGL,Information Technology,588.5,851.15,6.49,30.53,-10000
GOOG,Information Technology,575.2,831.91,6.34,29.84,-10000
MO,Consumer Staples,147.64,76.1,7.58,10.45,3.23
AMZN,Consumer Discretionary,403.7,846.02,2.97,172.66,-10000
AEE,Utilities,13.3,54.82,2.27,20.46,3.21
AAL,Industrials,22.61,44.84,0.57,9.32,0.85
AEP,Utilities,32.57,66.24,1.99,53.29,3.55
AXP,Financials,71.72,79.58,2.4,14.08,1.6
AIG,Financials,62.15,63.45,1.22,-10000,1.99
AMT,Real Estate,49,114.7,8.47,57.93,2.01
AWK,Utilities,13.7,76.89,4.17,29.35,1.94
AMP,Financials,20.36,132.18,1.74,16.92,2.25
ABC,Health Care,19.22,88.48,0.13,14.78,1.58
AME,Industrials,12.51,54.51,3.26,24.89,0.66
AMGN,Health Care,130.63,177.38,5.75,17.32,2.55
APH,Information Technology,21.62,70.27,3.43,26.92,0.91
APC,Energy,35.31,63.16,4.19,-10000,0.32
ADI,Information Technology,25.79,83.41,7.13,28.45,2.16
ANTM,Health Care,43.89,166.01,0.52,18.02,1.57
AON,Financials,30.34,115.54,2.62,22.39,1.13
APA,Energy,19.47,51.28,3.78,-10000,1.92
AIV,Real Estate,7.13,45.43,7.29,17.01,3.17
AAPL,Information Technology,732,139.52,3.35,16.75,1.63
AMAT,Information Technology,39.92,36.97,3.36,19.02,1.08
ADM,Consumer Staples,25.39,44.46,0.41,20.58,2.83
ARNC,Industrials,11.89,26.98,0.98,-10000,0.85
AJG,Financials,10.06,56.32,1.82,24.28,2.74
AIZ,Financials,5.54,99.6,0.74,10.91,2.12
T,Telecommunications Services,257.21,41.88,1.57,19.95,4.67
ADSK,Information Technology,18.15,82.07,9.03,-10000,0
ADP,Information Technology,46.81,104.27,3.91,28.01,2.18
AN,Consumer Discretionary,4.57,45.26,0.21,10.91,-10000
AZO,Consumer Discretionary,20.29,712.72,1.92,16.72,-10000
AVB,Real Estate,25.14,183.05,12.24,24.34,3.14
AVY,Materials,7.09,80.4,1.17,22.71,2.01
BHI,Energy,25.27,59.41,2.59,-10000,1.14
BLL,Materials,12.63,72.28,1.39,52,0.7
BAC,Financials,265.12,25.21,3.31,16.84,1.18
BCR,Health Care,17.7,245.69,4.79,34.95,0.42
BAX,Health Care,27.57,51.04,2.69,5.67,1.02
BBT,Financials,38.75,47.93,3.81,17.3,2.47
BDX,Health Care,39.15,183.94,3.16,30.62,1.58
BBBY,Consumer Discretionary,5.73,39.01,0.48,8.28,1.24
BRK.B,Financials,-10000,-10000,-10000,-10000,-10000
BBY,Consumer Discretionary,13.96,44.55,0.35,11.71,2.64
BIIB,Health Care,62.86,291.1,5.58,17.19,-10000
BLK,Financials,62.86,385.35,5.67,20.24,2.56
HRB,Financials,4.32,20.84,1.43,13.38,4.19
BA,Industrials,111.48,182.02,1.17,23.92,3.12
BWA,Consumer Discretionary,8.87,41.69,0.98,75.8,1.3
BXP,Real Estate,20.87,135.66,8.14,41.61,2.21
BSX,Health Care,33.38,24.48,4.03,97.92,-10000
BMY,Health Care,94.22,56.33,4.91,21.26,2.72
AVGO,Information Technology,87.48,219.25,5.57,-10000,1.87
BF.B,Consumer Staples,-10000,-10000,-10000,-10000,-10000
CHRW,Industrials,11.15,78.94,0.85,21.99,2.26
CA,Information Technology,13.36,31.97,3.4,16.95,3.14
COG,Energy,10.67,22.93,9.01,-10000,0.36
CPB,Consumer Staples,18.08,59.09,2.29,36.82,2.35
COF,Financials,44.57,92.82,2.35,13.47,1.7
CAH,Health Care,25.62,81.21,0.2,19.55,2.17
KMX,Consumer Discretionary,11.94,63.81,0.73,20.22,-10000
CCL,Consumer Discretionary,40.31,55.53,2.47,14.93,2.51
CAT,Industrials,56.26,95.93,1.46,-10000,3.24
CBOE,Financials,6.34,77.97,9.65,34.35,1.28
CBG,Real Estate,12.02,36.16,0.91,21.4,-10000
CBS,Consumer Discretionary,27.82,67.94,2.11,24.18,1.06
CELG,Health Care,94.97,122.08,8.56,49.03,-10000
CNC,Health Care,12.14,70.56,0.32,20.58,-10000
CNP,Utilities,12.06,28,1.6,28,3.84
CTL,Telecommunications Services,12.3,22.5,0.72,19.4,9.2
CERN,Health Care,18.12,54.97,3.86,29.71,-10000
CF,Materials,7.04,30.2,1.95,-10000,3.88
SCHW,Financials,55.61,41.66,7.53,31.8,0.75
CHTR,Consumer Discretionary,86.92,323.24,3,20.27,-10000
CHK,Energy,4.67,5.26,0.61,-10000,0
CVX,Energy,211.67,111.81,2.07,-10000,3.8
CMG,Consumer Discretionary,11.65,404.9,3.03,525.84,-10000
CB,Financials,64,137.41,2.04,15.49,1.99
CHD,Consumer Staples,12.62,49.55,3.62,28.31,1.45
CI,Health Care,39.03,151.84,0.99,21.12,0.03
XEC,Energy,11.6,124.25,9.31,-10000,0.25
CINF,Financials,12.05,73.17,2.21,20.61,2.7
CTAS,Industrials,12.42,118.27,2.45,24.65,0.89
CSCO,Information Technology,171.27,34.2,3.53,17.63,3.38
C,Financials,167.63,60.5,2.65,12.82,1.05
CFG,Financials,19.33,37.97,3.99,19.27,1.46
CTXS,Information Technology,12.49,79.9,3.64,23.43,-10000
CME,Financials,41.97,123.56,11.72,27.28,2.13
CMS,Utilities,12.42,44.44,1.94,22.44,3
COH,Consumer Discretionary,10.61,37.82,2.35,20.76,3.55
