Date,Open,High,Low,Close,Adj Close,Volume
2013-01-17,271.500000,271.970001,269.209991,270.480011,270.480011,1884600
2013-01-18,270.829987,274.500000,269.600006,272.119995,272.119995,2942000
2013-01-22,271.619995,272.100006,269.230011,270.190002,270.190002,2137700
2013-01-23,270.570007,271.089996,266.649994,268.109985,268.109985,2508900
2013-01-24,269.369995,276.649994,269.369995,273.459991,273.459991,3417000
2013-01-25,275.000000,284.720001,274.399994,283.989990,283.989990,4968100
2013-01-28,283.779999,284.480011,274.399994,276.040009,276.040009,4321400
2013-01-29,275.350006,275.459991,258.350006,260.350006,260.350006,10172600
2013-01-30,283.000000,284.200012,267.109985,272.760010,272.760010,13075400
2013-01-31,271.040009,275.940002,263.700012,265.500000,265.500000,6772100
2013-02-01,268.929993,268.929993,262.799988,265.000000,265.000000,6115000
2013-02-04,262.779999,264.679993,259.070007,259.980011,259.980011,3723600
2013-02-05,262.000000,268.029999,261.459991,266.890015,266.890015,4012900
2013-02-06,265.160004,266.890015,261.109985,262.220001,262.220001,2770400
2013-02-07,264.100006,264.100006,255.110001,260.230011,260.230011,3975700
2013-02-08,261.399994,265.250000,260.549988,261.950012,261.950012,3879200
2013-02-11,263.200012,263.250000,256.600006,257.209991,257.209991,3403700
2013-02-12,259.190002,260.160004,257.000000,258.700012,258.700012,2943700
2013-02-13,261.529999,269.959991,260.299988,269.470001,269.470001,5293000
2013-02-14,267.369995,270.649994,265.399994,269.239990,269.239990,3463000
2013-02-15,267.630005,268.920013,263.109985,265.089996,265.089996,3979900
2013-02-19,265.910004,270.109985,264.500000,269.750000,269.750000,2854200
2013-02-20,270.200012,274.299988,266.369995,266.410004,266.410004,3528900
2013-02-21,265.119995,269.480011,263.250000,265.940002,265.940002,3637400
2013-02-22,266.619995,267.109985,261.609985,265.420013,265.420013,3124800
2013-02-25,266.940002,268.690002,259.649994,259.869995,259.869995,3032400
2013-02-26,260.890015,262.040009,255.729996,259.359985,259.359985,3348600
2013-02-27,259.399994,265.829987,256.859985,263.250000,263.250000,2908100
2013-02-28,261.809998,267.000000,260.630005,264.269989,264.269989,2667200
2013-03-01,263.269989,266.600006,261.040009,265.739990,265.739990,2957000
2013-03-04,265.359985,273.299988,264.140015,273.109985,273.109985,3453000
2013-03-05,274.000000,276.679993,269.989990,275.589996,275.589996,3686200
2013-03-06,275.760010,276.489990,271.829987,273.790009,273.790009,2050700
2013-03-07,274.100006,274.799988,271.850006,273.880005,273.880005,1939000
2013-03-08,275.000000,275.440002,271.500000,274.190002,274.190002,1879800
2013-03-11,273.429993,273.989990,270.399994,271.239990,271.239990,1904900
2013-03-12,271.000000,277.399994,270.359985,274.130005,274.130005,3246200
2013-03-13,275.239990,276.500000,272.640015,275.100006,275.100006,1884200
2013-03-14,269.670013,270.000000,263.529999,265.739990,265.739990,5226700
2013-03-15,264.980011,267.260010,260.049988,261.820007,261.820007,4865900
2013-03-18,259.299988,261.489990,257.119995,257.890015,257.890015,2720200
2013-03-19,258.399994,259.500000,252.619995,256.410004,256.410004,3738500
2013-03-20,258.049988,259.760010,254.550003,257.279999,257.279999,2738900
2013-03-21,256.109985,257.000000,252.679993,253.389999,253.389999,2806400
2013-03-22,254.550003,257.769989,252.070007,257.750000,257.750000,3124600
2013-03-25,258.579987,259.429993,254.500000,256.019989,256.019989,2513900
2013-03-26,257.049988,261.480011,256.279999,260.309998,260.309998,2421000
2013-03-27,258.750000,265.929993,257.899994,265.299988,265.299988,2874900
2013-03-28,265.820007,267.380005,264.059998,266.489990,266.489990,2473700
2013-04-01,266.980011,267.399994,261.010010,261.609985,261.609985,2524800
2013-04-02,262.399994,265.890015,260.549988,263.320007,263.320007,2631100
2013-04-03,262.119995,263.670013,257.750000,259.029999,259.029999,2413800
2013-04-04,259.230011,260.410004,256.119995,259.079987,259.079987,1964400
2013-04-05,255.720001,256.179993,253.669998,255.479996,255.479996,2557400
2013-04-08,255.919998,259.679993,255.630005,258.950012,258.950012,2295600
2013-04-09,258.850006,262.609985,257.000000,261.140015,261.140015,2156600
2013-04-10,261.779999,265.980011,259.320007,264.769989,264.769989,2322500
2013-04-11,264.739990,270.970001,264.739990,269.850006,269.850006,3090500
2013-04-12,270.119995,273.269989,267.019989,272.869995,272.869995,2866300
2013-04-15,271.079987,275.119995,267.100006,267.720001,267.720001,3326000
2013-04-16,269.309998,272.799988,268.059998,272.339996,272.339996,2137200
2013-04-17,270.799988,270.850006,264.250000,267.399994,267.399994,3135100
2013-04-18,266.809998,266.989990,256.600006,259.420013,259.420013,3137600
2013-04-19,258.160004,262.880005,257.500000,260.320007,260.320007,2602500
2013-04-22,259.350006,264.600006,258.029999,263.549988,263.549988,2119100
2013-04-23,264.500000,269.869995,264.500000,268.899994,268.899994,2270600
2013-04-24,269.500000,271.470001,266.809998,268.779999,268.779999,1852800
2013-04-25,271.529999,275.799988,270.500000,274.700012,274.700012,6116500
2013-04-26,269.970001,272.019989,252.809998,254.809998,254.809998,14030000
2013-04-29,254.899994,257.010010,249.149994,249.740005,249.740005,7117000
2013-04-30,249.369995,254.679993,248.559998,253.809998,253.809998,4248800
2013-05-01,253.899994,254.199997,245.750000,248.229996,248.229996,4391400
2013-05-02,248.940002,252.929993,245.779999,252.550003,252.550003,3936200
2013-05-03,256.140015,259.250000,254.699997,258.049988,258.049988,3514000
2013-05-06,258.089996,259.500000,253.419998,255.720001,255.720001,2347800
2013-05-07,256.309998,259.739990,252.910004,257.730011,257.730011,3133700
2013-05-08,256.869995,260.299988,255.330002,258.679993,258.679993,2677000
2013-05-09,258.730011,263.549988,256.880005,260.160004,260.160004,2769300
2013-05-10,260.880005,263.649994,260.209991,263.630005,263.630005,3145300
2013-05-13,262.769989,265.880005,262.000000,264.510010,264.510010,2149500
2013-05-14,264.500000,269.399994,264.029999,268.329987,268.329987,2700000
2013-05-15,267.070007,269.049988,264.559998,266.559998,266.559998,2720500
2013-05-16,265.959991,268.429993,263.850006,264.119995,264.119995,1643500
2013-05-17,265.829987,269.980011,265.000000,269.899994,269.899994,2527300
2013-05-20,269.000000,271.790009,266.500000,267.630005,267.630005,2209000
2013-05-21,268.739990,270.769989,267.660004,268.859985,268.859985,1741200
2013-05-22,267.390015,267.589996,260.799988,262.959991,262.959991,3332000
2013-05-23,260.489990,263.170013,259.589996,261.799988,261.799988,2000300
2013-05-24,259.850006,261.929993,258.339996,261.739990,261.739990,1696300
2013-05-28,266.480011,271.100006,266.000000,267.290009,267.290009,3471000
2013-05-29,265.459991,268.250000,264.839996,265.529999,265.529999,1903400
2013-05-30,265.709991,268.570007,265.609985,266.829987,266.829987,1667500
2013-05-31,266.000000,271.910004,265.940002,269.200012,269.200012,3374300
2013-06-03,268.959991,269.109985,262.950012,266.880005,266.880005,2543900
2013-06-04,267.000000,268.880005,263.019989,265.700012,265.700012,2088600
2013-06-05,265.809998,271.660004,265.019989,267.170013,267.170013,3512300
2013-06-06,267.750000,270.500000,264.209991,267.829987,267.829987,2476300
2013-06-07,269.739990,280.100006,269.130005,276.869995,276.869995,4632600
2013-06-10,276.679993,282.470001,275.239990,281.070007,281.070007,3086500
2013-06-11,276.000000,278.410004,274.239990,274.779999,274.779999,3097800
2013-06-12,276.600006,276.799988,270.450012,271.670013,271.670013,2238900
2013-06-13,271.500000,276.799988,270.290009,275.790009,275.790009,2649800
2013-06-14,275.000000,277.070007,273.440002,273.989990,273.989990,2150800
2013-06-17,276.350006,280.200012,275.649994,278.059998,278.059998,2884000
2013-06-18,279.079987,282.910004,278.109985,281.760010,281.760010,2146100
2013-06-19,281.260010,283.339996,277.869995,278.160004,278.160004,2827500
2013-06-20,275.140015,278.600006,272.390015,273.440002,273.440002,2984000
2013-06-21,274.570007,275.839996,269.790009,273.359985,273.359985,4201000
2013-06-24,271.290009,273.160004,265.000000,270.609985,270.609985,3863800
2013-06-25,272.299988,273.470001,269.000000,272.089996,272.089996,2449600
2013-06-26,273.980011,277.980011,273.500000,277.570007,277.570007,3029500
2013-06-27,279.179993,280.200012,274.540009,277.549988,277.549988,2519500
2013-06-28,276.190002,279.829987,276.190002,277.690002,277.690002,3193300
2013-07-01,279.000000,283.290009,277.160004,282.100006,282.100006,2888200
2013-07-02,281.040009,286.579987,280.589996,283.730011,283.730011,3238200
2013-07-03,282.000000,285.399994,282.000000,284.029999,284.029999,1373000
2013-07-05,285.000000,286.380005,282.070007,285.880005,285.880005,1985400
2013-07-08,286.420013,291.670013,286.140015,290.589996,290.589996,3046700
2013-07-09,291.000000,292.570007,288.010010,291.529999,291.529999,2775600
2013-07-10,291.410004,293.339996,289.399994,292.329987,292.329987,1810200
2013-07-11,294.989990,300.690002,292.100006,299.660004,299.660004,4007300
2013-07-12,298.690002,307.549988,298.500000,307.549988,307.549988,4539300
2013-07-15,307.269989,307.989990,304.350006,306.570007,306.570007,2245600
2013-07-16,307.299988,309.390015,305.510010,306.869995,306.869995,2660200
2013-07-17,306.970001,308.799988,305.690002,308.690002,308.690002,2029700
2013-07-18,306.269989,306.339996,301.869995,304.109985,304.109985,3063800
2013-07-19,304.390015,305.790009,301.910004,305.230011,305.230011,2973100
2013-07-22,309.250000,309.250000,302.000000,303.480011,303.480011,2520700
2013-07-23,303.160004,305.059998,300.559998,301.059998,301.059998,1999600
2013-07-24,303.019989,303.839996,298.040009,298.940002,298.940002,2000500
2013-07-25,299.000000,304.500000,296.750000,303.399994,303.399994,5405800
2013-07-26,299.549988,313.619995,295.549988,312.010010,312.010010,8817500
2013-07-29,311.070007,313.000000,305.899994,306.100006,306.100006,3211800
2013-07-30,307.720001,309.779999,301.570007,302.410004,302.410004,3053400
2013-07-31,303.910004,305.149994,301.000000,301.220001,301.220001,1891300
2013-08-01,303.079987,306.209991,298.899994,305.570007,305.570007,2971700
2013-08-02,304.630005,305.329987,301.500000,304.209991,304.209991,2502600
2013-08-05,303.399994,303.619995,298.299988,300.989990,300.989990,2233200
2013-08-06,300.510010,301.359985,297.519989,300.750000,300.750000,1849000
2013-08-07,300.149994,300.989990,296.149994,296.910004,296.910004,1961000
2013-08-08,298.519989,298.519989,292.549988,295.739990,295.739990,2343400
2013-08-09,295.679993,299.269989,294.299988,297.260010,297.260010,1950300
2013-08-12,295.790009,299.079987,295.260010,296.690002,296.690002,1504500
2013-08-13,295.880005,296.369995,290.670013,293.970001,293.970001,2349900
2013-08-14,294.290009,294.290009,290.540009,291.339996,291.339996,1415000
2013-08-15,288.790009,289.299988,285.149994,286.470001,286.470001,2261400
2013-08-16,286.549988,288.329987,284.500000,284.820007,284.820007,2422500
2013-08-19,285.190002,289.559998,283.480011,285.570007,285.570007,2477400
2013-08-20,285.880005,289.510010,285.739990,287.089996,287.089996,1586300
2013-08-21,285.089996,288.500000,283.829987,284.570007,284.570007,1815300
2013-08-22,284.799988,289.869995,284.799988,289.730011,289.730011,1422600
2013-08-23,291.209991,291.500000,287.899994,290.010010,290.010010,1961900
2013-08-26,290.429993,291.049988,285.619995,286.209991,286.209991,1711700
2013-08-27,283.869995,285.279999,279.739990,280.929993,280.929993,2476000
2013-08-28,280.359985,283.000000,279.329987,281.579987,281.579987,1457100
2013-08-29,281.450012,285.980011,280.000000,283.980011,283.980011,1566400
2013-08-30,284.589996,284.869995,280.000000,280.980011,280.980011,1534700
2013-09-03,284.730011,291.390015,284.170013,288.799988,288.799988,2897600
2013-09-04,288.329987,295.230011,287.579987,293.640015,293.640015,2438600
2013-09-05,293.630005,297.000000,292.709991,294.100006,294.100006,1816600
2013-09-06,295.329987,298.880005,290.799988,295.859985,295.859985,2292000
2013-09-09,297.220001,299.959991,296.600006,299.709991,299.709991,1643600
2013-09-10,300.549988,301.000000,297.220001,300.359985,300.359985,1778400
2013-09-11,298.910004,301.859985,297.839996,299.640015,299.640015,1742600
2013-09-12,299.390015,302.000000,297.660004,298.859985,298.859985,1606200
2013-09-13,300.140015,300.220001,296.200012,297.920013,297.920013,1350600
2013-09-16,299.820007,301.000000,295.260010,296.059998,296.059998,1808400
